timestamp,machine_id,operator_id,task_id,engine_hours,fuel_used_l,load_cycles,idling_time_min,seatbelt_status,proximity_alert,weather_condition,ground_condition,is_golden,scene
2024-09-23 08:00:00,EXC001,OP001,TSK003,412.0,12.0,5,3,Fastened,0,Sunny,Dry,True,normal_work
2024-09-23 08:30:00,EXC001,OP001,TSK003,412.5,23.5,5,4,Fastened,0,Sunny,Dry,True,normal_work
2024-09-23 09:00:00,EXC001,OP001,TSK003,413.0,34.8,6,4,Fastened,0,Sunny,Dry,True,normal_work
2024-09-23 09:30:00,EXC001,OP001,TSK003,413.5,46.1,6,5,Fastened,0,Sunny,Dry,True,normal_work
2024-09-23 10:00:00,EXC001,OP001,TSK003,414.0,57.2,7,5,Fastened,0,Overcast,Dry,True,normal_work
2024-09-23 10:30:00,EXC001,OP001,TSK003,414.5,63.0,3,18,Fastened,0,Overcast,Dry,True,idle_event
2024-09-23 11:00:00,EXC001,OP001,TSK003,415.0,68.4,4,7,Fastened,0,Overcast,Dry,True,idle_recovery
2024-09-23 11:30:00,EXC001,OP001,TSK003,415.5,74.1,3,9,Fastened,0,Rainy,Wet,True,ground_wet_slowdown
2024-09-23 12:00:00,EXC001,OP001,TSK003,416.0,79.3,2,14,Fastened,0,Rainy,Wet,True,ground_wet_slowdown
2024-09-23 12:30:00,EXC001,OP001,TSK003,416.5,83.9,2,16,Fastened,0,Rainy,Wet,True,ground_wet_slowdown
2024-09-23 13:00:00,EXC001,OP001,TSK003,417.0,87.4,1,19,Fastened,0,Rainy,Muddy,True,ground_wet_slowdown
2024-09-23 13:30:00,EXC001,OP001,TSK003,417.5,90.1,1,22,Unfastened,1,Rainy,Muddy,True,safety_event
2024-09-23 14:00:00,EXC001,OP001,TSK003,418.0,93.6,1,20,Fastened,0,Rainy,Muddy,True,safety_recovery
2024-09-23 14:30:00,EXC001,OP001,TSK003,418.5,97.8,3,15,Fastened,0,Overcast,Wet,True,recovery
2024-09-23 15:00:00,EXC001,OP001,TSK003,419.0,102.3,4,12,Fastened,0,Overcast,Wet,True,recovery
2024-09-23 15:30:00,EXC001,OP001,TSK003,419.5,107.1,5,8,Fastened,0,Sunny,Dry,True,recovery
2024-09-23 16:00:00,EXC001,OP001,TSK003,420.0,112.4,6,28,Fastened,0,Sunny,Dry,True,anomaly_high_idle
2024-09-23 16:30:00,EXC001,OP001,TSK003,420.5,117.8,7,30,Fastened,0,Sunny,Dry,True,task_completion
2024-09-19 23:21:00,EXC001,OP001,TSK001,381.0,105.2,5,16,Fastened,0,Overcast,Wet,False,
2024-08-29 02:30:00,EXC001,OP002,TSK004,381.8,105.2,5,22,Fastened,0,Overcast,Wet,False,
2024-08-28 23:44:00,EXC001,OP002,TSK004,382.3,106.9,12,3,Fastened,0,Rainy,Dry,False,
2024-09-08 05:28:00,EXC001,OP002,TSK004,383.0,106.0,3,20,Fastened,0,Rainy,Wet,False,
2024-09-09 04:19:00,EXC001,OP001,TSK002,383.6,108.7,5,38,Fastened,0,Sunny,Wet,False,
2024-09-09 23:10:00,EXC001,OP001,TSK002,384.6,108.3,5,32,Fastened,1,Sunny,Wet,False,
2024-09-02 03:14:00,EXC001,OP001,TSK002,385.4,109.0,3,21,Unfastened,0,Sunny,Wet,False,
